dataset,column,mean,std,p05,p50,p95
abraom_pathogenic_common,M4_dynamic_gated__gate_alpha_abraom,0.5006016790866852,0.0005732023955001544,0.4996119052171707,0.5005887150764465,0.5015061676502228
abraom_pathogenic_common,M4_dynamic_gated__gate_alpha_gnomad,0.49940038720766705,0.0006077668204429222,0.49842514246702196,0.499401792883873,0.5004960477352143
abraom_pathogenic_common,M4_dynamic_gated__gate_entropy,0.6921132624149322,5.1998126752514334e-05,0.6920337498188018,0.6921212375164032,0.692185890674591
abraom_pathogenic_common,M7_dynamic_scrambled__gate_alpha_scrambled,0.49364677915970484,0.00029951180034854923,0.4930601239204407,0.4936758279800415,0.49414859861135485
abraom_pathogenic_common,M7_dynamic_scrambled__gate_alpha_gnomad,0.506327478090922,0.00029404572506775095,0.5058518767356872,0.5063387453556061,0.5068394869565964
abraom_pathogenic_common,M7_dynamic_scrambled__gate_entropy,0.6912714600563049,5.552867028845119e-05,0.6911765217781067,0.6912807822227478,0.691350907087326
global_nonbr_no_abraom,M4_dynamic_gated__gate_alpha_abraom,0.5007864768448759,0.0005657169781660589,0.5000170946121216,0.5006725192070007,0.501817500591278
global_nonbr_no_abraom,M4_dynamic_gated__gate_alpha_gnomad,0.49921870962826675,0.0005802781702259151,0.49820799231529234,0.49932703375816345,0.5000200510025025
global_nonbr_no_abraom,M4_dynamic_gated__gate_entropy,0.6921203106177278,5.246566145471759e-05,0.692031729221344,0.6921200156211853,0.6922040700912475
global_nonbr_no_abraom,M7_dynamic_scrambled__gate_alpha_scrambled,0.4936690201646662,0.00039424583667202847,0.4929745554924011,0.4936918616294861,0.49425738453865053
global_nonbr_no_abraom,M7_dynamic_scrambled__gate_alpha_gnomad,0.5063137428253485,0.0003891166169779053,0.5057427883148193,0.5062879920005798,0.5070103287696839
global_nonbr_no_abraom,M7_dynamic_scrambled__gate_entropy,0.6912604809226913,5.601254009572844e-05,0.6911678791046143,0.691260039806366,0.6913535356521606
