dataset,contrast,base_model,compare_model,discordance_status,group_column,group_value,n
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0.001,0.005]",1
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0.005,0.01]",2
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0.01,0.05]",3
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0.05,0.1]",1
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,af_abraom_bin,>1e-2,242
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,af_abraom_bin,>1e-2,7
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,label,0,195
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,label,0,19
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,variant_type,SNV,195
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,variant_type,SNV,19
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,"(0,0.001]",12
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.001,0.005]",59
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.005,0.01]",51
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.01,0.05]",64
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.05,0.1]",8
