dataset,model,group_column,group_value,n,errors,error_rate,mean_af_abraom,mean_score
abraom_common_benign,M0,GeneSymbol,CD5,2,2,1.0,0.3851410150527954,0.5031030923128128
abraom_common_benign,M0,GeneSymbol,CDCA7,4,1,0.25,0.4451324939727783,0.2444034107029438
abraom_common_benign,M0,GeneSymbol,CDH17,1,1,1.0,0.4513239860534668,0.5525397062301636
abraom_common_benign,M0,GeneSymbol,CDKL5,10,1,0.1,0.10979579389095306,0.20473209246993065
abraom_common_benign,M0,GeneSymbol,CEP43,1,1,1.0,0.013663999736309052,0.5978426933288574
abraom_common_benign,M0,GeneSymbol,CERKL,14,6,0.42857142857142855,0.2750091850757599,0.34517731091805864
abraom_common_benign,M0,GeneSymbol,CERT1,1,1,1.0,0.218189999461174,0.543832540512085
abraom_common_benign,M0,GeneSymbol,CFAP52,2,2,1.0,0.3268575072288513,0.5051855593919754
abraom_common_benign,M0,GeneSymbol,CFAP58,2,2,1.0,0.015371499583125114,0.47408366203308105
abraom_common_benign,M0,GeneSymbol,CFH,56,22,0.39285714285714285,0.23948362469673157,0.3734083129093051
abraom_common_benign,M0,GeneSymbol,CFHR2,15,4,0.26666666666666666,0.2809963822364807,0.3230862890680631
abraom_common_benign,M0,GeneSymbol,CFLAR,1,1,1.0,0.011102000251412392,0.622459352016449
abraom_common_benign,M0,GeneSymbol,CGNL1,2,0,0.0,0.011742500588297844,0.3397007882595062
abraom_common_benign,M0,GeneSymbol,CHAF1B,1,1,1.0,0.011528999544680119,0.6020615696907043
abraom_common_benign,M0,GeneSymbol,CHD1,2,0,0.0,0.05529499799013138,0.31678614020347595
abraom_common_benign,M0,GeneSymbol,CHD6,5,4,0.8,0.053885601460933685,0.5014000505208969
abraom_common_benign,M0,GeneSymbol,CHL1,3,1,0.3333333333333333,0.12140632420778275,0.49270346760749817
abraom_common_benign,M0,GeneSymbol,CHM,23,2,0.08695652173913043,0.17585086822509766,0.23040308932895245
abraom_common_benign,M0,GeneSymbol,CHRNA2,36,4,0.1111111111111111,0.2603801488876343,0.2632301313181718
abraom_common_benign,M0,GeneSymbol,CHRNE,35,6,0.17142857142857143,0.13849854469299316,0.3126977622509003
abraom_common_benign,M0,GeneSymbol,CHSY1,25,9,0.36,0.15891844034194946,0.36844708532094955
abraom_common_benign,M0,GeneSymbol,CHTF18,4,1,0.25,0.034479252994060516,0.4104541465640068
abraom_common_benign,M0,GeneSymbol,CIROZ,1,1,1.0,0.014944000169634819,0.4742659330368042
abraom_common_benign,M0,GeneSymbol,CKAP2,2,2,1.0,0.010247999802231789,0.5177757889032364
abraom_common_benign,M0,GeneSymbol,CLCNKB,122,18,0.14754098360655737,0.3451088070869446,0.23901499783406494
abraom_common_benign,M0,GeneSymbol,CLDN10,8,1,0.125,0.3191183805465698,0.26925946585834026
abraom_common_benign,M0,GeneSymbol,CLMN,1,1,1.0,0.01067500002682209,0.5736784338951111
abraom_common_benign,M0,GeneSymbol,CLPTM1,3,1,0.3333333333333333,0.46212896704673767,0.3635523368914922
abraom_common_benign,M0,GeneSymbol,CMBL,1,1,1.0,0.01067500002682209,0.4390257000923157
abraom_common_benign,M0,GeneSymbol,COCH,28,5,0.17857142857142858,0.20429816842079163,0.2614111684794937
abraom_common_benign,M0,GeneSymbol,COG6,58,5,0.08620689655172414,0.3247409760951996,0.21917830664536048
abraom_common_benign,M0,GeneSymbol,COG7,22,1,0.045454545454545456,0.21337641775608063,0.19812823188575832
abraom_common_benign,M0,GeneSymbol,COL12A1,112,17,0.15178571428571427,0.20407946407794952,0.23666337272152305
abraom_common_benign,M0,GeneSymbol,COL21A1,1,1,1.0,0.02006799913942814,0.6109178066253662
abraom_common_benign,M0,GeneSymbol,COL24A1,1,1,1.0,0.011102000251412392,0.7416740655899048
abraom_common_benign,M0,GeneSymbol,COL4A1,191,25,0.13089005235602094,0.24718424677848816,0.25331682618219814
abraom_common_benign,M0,GeneSymbol,COL6A2,100,8,0.08,0.2509255111217499,0.2479366810619831
abraom_common_benign,M0,GeneSymbol,COL6A5,5,4,0.8,0.17505718767642975,0.5855392336845398
abraom_common_benign,M0,GeneSymbol,COL9A3,90,16,0.17777777777777778,0.15314500033855438,0.28791217911574574
abraom_common_benign,M0,GeneSymbol,COMMD7,1,1,1.0,0.02049499936401844,0.5338835716247559
abraom_common_benign,M0,GeneSymbol,COQ4,12,3,0.25,0.2284727543592453,0.3078852134446303
abraom_common_benign,M0,GeneSymbol,CORO1A,2,0,0.0,0.40286049246788025,0.29920850694179535
abraom_common_benign,M0,GeneSymbol,COX6A1,6,0,0.0,0.20481067895889282,0.23142031952738762
abraom_common_benign,M0,GeneSymbol,CPA6,5,3,0.6,0.23065760731697083,0.46784284710884094
abraom_common_benign,M0,GeneSymbol,CPLANE1,79,12,0.1518987341772152,0.07903159409761429,0.23891235652226436
abraom_common_benign,M0,GeneSymbol,CPLX1,3,1,0.3333333333333333,0.5956446528434753,0.2841347207625707
abraom_common_benign,M0,GeneSymbol,CPOX,22,6,0.2727272727272727,0.27900591492652893,0.2787718928673051
abraom_common_benign,M0,GeneSymbol,CRBN,4,2,0.5,0.4798250198364258,0.3469695970416069
abraom_common_benign,M0,GeneSymbol,CREB3L3,20,3,0.15,0.27112698554992676,0.2448803961277008
abraom_common_benign,M0,GeneSymbol,CRTAP,43,3,0.06976744186046512,0.22671259939670563,0.2659976281398951
abraom_common_benign,M0,GeneSymbol,CRYBA1,8,0,0.0,0.07237400114536285,0.24465133622288704
abraom_common_benign,M0,GeneSymbol,CRYBA2,2,0,0.0,0.024764999747276306,0.22541658580303192
abraom_common_benign,M0,GeneSymbol,CRYBG3,2,2,1.0,0.43552500009536743,0.604963019490242
abraom_common_benign,M0,GeneSymbol,CRYGN,1,1,1.0,0.016225000843405724,0.7256486415863037
abraom_common_benign,M0,GeneSymbol,CSGALNACT1,18,5,0.2777777777777778,0.37899038195610046,0.33537546503874993
abraom_common_benign,M0,GeneSymbol,CSMD3,7,6,0.8571428571428571,0.11467600613832474,0.547483320747103
abraom_common_benign,M0,GeneSymbol,CTNNA1,24,2,0.08333333333333333,0.27613499760627747,0.2097041429951787
abraom_common_benign,M0,GeneSymbol,CTNNB1,10,4,0.4,0.27651581168174744,0.34599215164780617
abraom_common_benign,M0,GeneSymbol,CTNND1,9,3,0.3333333333333333,0.259512335062027,0.282320542467965
abraom_common_benign,M0,GeneSymbol,CTRC,17,2,0.11764705882352941,0.12840963900089264,0.2554297263131422
abraom_common_benign,M0,GeneSymbol,CTSF,19,2,0.10526315789473684,0.17007485032081604,0.2608392744472152
abraom_common_benign,M0,GeneSymbol,CTSG,2,1,0.5,0.035226501524448395,0.5865572988986969
abraom_common_benign,M0,GeneSymbol,CUL2,1,1,1.0,0.018787000328302383,0.672331690788269
abraom_common_benign,M0,GeneSymbol,CUX1,10,1,0.1,0.4569733142852783,0.28756817281246183
abraom_common_benign,M0,GeneSymbol,CWC22,1,1,1.0,0.017078999429941177,0.7209580540657043
abraom_common_benign,M0,GeneSymbol,CYLD,26,3,0.11538461538461539,0.14726164937019348,0.2504141852259636
abraom_common_benign,M0,GeneSymbol,CYP19A1,32,3,0.09375,0.24486277997493744,0.2522947802208364
abraom_common_benign,M0,GeneSymbol,CYP26B1,10,1,0.1,0.07474830001592636,0.3167663499712944
abraom_common_benign,M0,GeneSymbol,CYP3A4,2,1,0.5,0.4274124801158905,0.3724549859762192
abraom_common_benign,M0,GeneSymbol,CYP7B1,15,2,0.13333333333333333,0.1608620584011078,0.2543242037296295
abraom_common_benign,M0,GeneSymbol,DBF4,2,2,1.0,0.012809500098228455,0.6361314654350281
abraom_common_benign,M0,GeneSymbol,DCAF8,2,2,1.0,0.017078999429941177,0.5841862559318542
abraom_common_benign,M0,GeneSymbol,DCDC1,6,4,0.6666666666666666,0.21057499945163727,0.5406614964207014
abraom_common_benign,M0,GeneSymbol,DCTD,1,1,1.0,0.010247999802231789,0.5428633093833923
abraom_common_benign,M0,GeneSymbol,DDB2,21,1,0.047619047619047616,0.34242191910743713,0.201116334824335
abraom_common_benign,M0,GeneSymbol,DDR1,1,1,1.0,0.011528999544680119,0.8976953029632568
abraom_common_benign,M0,GeneSymbol,DDX53,1,1,1.0,0.024008000269532204,0.8267117738723755
abraom_common_benign,M0,GeneSymbol,DDX56,1,1,1.0,0.029035000130534172,0.6834195256233215
abraom_common_benign,M0,GeneSymbol,DENND3,2,0,0.0,0.01430400088429451,0.31827862560749054
abraom_common_benign,M0,GeneSymbol,DGAT1,7,3,0.42857142857142855,0.09564471989870071,0.42757266972746166
abraom_common_benign,M0,GeneSymbol,DGAT2,2,0,0.0,0.018787499517202377,0.37258805334568024
abraom_common_benign,M0,GeneSymbol,DHODH,31,3,0.0967741935483871,0.334220290184021,0.24915850450915675
abraom_common_benign,M0,GeneSymbol,DHRS4,2,1,0.5,0.07264550030231476,0.533915564417839
abraom_common_benign,M0,GeneSymbol,DIDO1,2,2,1.0,0.015371499583125114,0.6630403399467468
abraom_common_benign,M0,GeneSymbol,DMRT3,1,1,1.0,0.021776000037789345,0.532181978225708
abraom_common_benign,M0,GeneSymbol,DNAH7,19,16,0.8421052631578947,0.20909041166305542,0.5175443526945616
abraom_common_benign,M0,GeneSymbol,DNAJB8,2,1,0.5,0.013236500322818756,0.45881350338459015
abraom_common_benign,M0,GeneSymbol,DNAJC7,6,0,0.0,0.4647066593170166,0.2945062145590782
abraom_common_benign,M0,GeneSymbol,DNAL1,15,1,0.06666666666666667,0.13215573132038116,0.22400323897600175
abraom_common_benign,M0,GeneSymbol,DNER,1,1,1.0,0.012810000218451023,0.4757270812988281
abraom_common_benign,M0,GeneSymbol,DNM2,24,0,0.0,0.17471174895763397,0.174682242795825
abraom_common_benign,M0,GeneSymbol,DOCK6,76,17,0.2236842105263158,0.24579496681690216,0.2765807833914694
abraom_common_benign,M0,GeneSymbol,DOLK,5,0,0.0,0.01921439729630947,0.30183244943618776
abraom_common_benign,M0,GeneSymbol,DPM2,7,4,0.5714285714285714,0.6899601817131042,0.4919573260205133
abraom_common_benign,M0,GeneSymbol,DPYS,6,2,0.3333333333333333,0.14404316246509552,0.38456614563862485
abraom_common_benign,M0,GeneSymbol,DRAM2,3,0,0.0,0.2912620007991791,0.2094790240128835
abraom_common_benign,M0,GeneSymbol,DRC1,54,13,0.24074074074074073,0.16999921202659607,0.2763990148625992
abraom_common_benign,M0,GeneSymbol,DSG2,40,11,0.275,0.17192891240119934,0.3198823260143399
abraom_common_benign,M0,GeneSymbol,DTX2,3,2,0.6666666666666666,0.23789167404174805,0.465451180934906
abraom_common_benign,M0,GeneSymbol,DUOXA2,18,4,0.2222222222222222,0.45025619864463806,0.31482788133952355
abraom_common_benign,M0,GeneSymbol,DVL2,3,1,0.3333333333333333,0.5650439858436584,0.36348216235637665
abraom_common_benign,M0,GeneSymbol,DYSF,177,21,0.11864406779661017,0.2331354171037674,0.24004536256783426
abraom_common_benign,M0,GeneSymbol,EBF3,1,1,1.0,0.037574999034404755,0.446977436542511
abraom_common_benign,M0,GeneSymbol,ECD,1,1,1.0,0.014944000169634819,0.4474602937698364
abraom_common_benign,M0,GeneSymbol,ECE1,9,4,0.4444444444444444,0.08354666829109192,0.4433048831091987
abraom_common_benign,M0,GeneSymbol,EFEMP1,26,6,0.23076923076923078,0.08672746270895004,0.3062839253017536
abraom_common_benign,M0,GeneSymbol,EIF4G1,22,7,0.3181818181818182,0.23183371126651764,0.30073775655843993
abraom_common_benign,M0,GeneSymbol,EMG1,2,2,1.0,0.014730999246239662,0.6073271632194519
abraom_common_benign,M0,GeneSymbol,ENAM,24,7,0.2916666666666667,0.07655483484268188,0.3100735619664192
abraom_common_benign,M0,GeneSymbol,ENTPD2,2,2,1.0,0.04431500285863876,0.6743533611297607
abraom_common_benign,M0,GeneSymbol,EPHX1,28,7,0.25,0.16056527197360992,0.2915551862014191
abraom_common_benign,M0,GeneSymbol,EPPK1,6,6,1.0,0.15763050317764282,0.4968636830647786
abraom_common_benign,M0,GeneSymbol,EPX,2,0,0.0,0.012382999993860722,0.3900114893913269
abraom_common_benign,M0,GeneSymbol,ERF,7,2,0.2857142857142857,0.06032700091600418,0.3572258544819696
abraom_common_benign,M0,GeneSymbol,ERMAP,2,1,0.5,0.01515750028192997,0.43904323875904083
abraom_common_benign,M0,GeneSymbol,ERN2,1,1,1.0,0.013663999736309052,0.5172051191329956
