threshold,br_only_mcc,br_only_recall,br_only_specificity,br_only_fp,br_only_fn,abraom_common_benign_mcc,abraom_common_benign_recall,abraom_common_benign_specificity,abraom_common_benign_fp,abraom_common_benign_fn,abraom_pathogenic_present_mcc,abraom_pathogenic_present_recall,abraom_pathogenic_present_specificity,abraom_pathogenic_present_fp,abraom_pathogenic_present_fn,global_nonbr_no_abraom_mcc,global_nonbr_no_abraom_recall,global_nonbr_no_abraom_specificity,global_nonbr_no_abraom_fp,global_nonbr_no_abraom_fn,discount_scale,constraint_gap
0.395,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9580130589304902,508,0,0.0,0.4233128834355828,,0,94,0.14615311334356754,1.0,0.031201248049921998,621,0,0.15,0.31384688665643246
0.39,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9586742706008761,500,0,0.0,0.4233128834355828,,0,94,0.14615311334356754,1.0,0.031201248049921998,621,0,0.2,0.31384688665643246
0.385,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9589222249772709,497,0,0.0,0.4233128834355828,,0,94,0.14615311334356754,1.0,0.031201248049921998,621,0,0.25,0.31384688665643246
0.38,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.959666088106455,488,0,0.0,0.4171779141104294,,0,95,0.14615311334356754,1.0,0.031201248049921998,621,0,0.3,0.31384688665643246
0.375,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9601619968592445,482,0,0.0,0.4233128834355828,,0,94,0.14615311334356754,1.0,0.031201248049921998,621,0,0.35,0.31384688665643246
0.37,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9603272997768411,480,0,0.0,0.4171779141104294,,0,95,0.14615311334356754,1.0,0.031201248049921998,621,0,0.4,0.31384688665643246
0.365,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.960657905612034,476,0,0.0,0.4110429447852761,,0,96,0.14615311334356754,1.0,0.031201248049921998,621,0,0.45,0.31384688665643246
0.36,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.960657905612034,476,0,0.0,0.4110429447852761,,0,96,0.14615311334356754,1.0,0.031201248049921998,621,0,0.5,0.31384688665643246
0.355,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9608232085296305,474,0,0.0,0.4110429447852761,,0,96,0.14615311334356754,1.0,0.031201248049921998,621,0,0.55,0.31384688665643246
0.405,0.5926778563314168,0.9946949602122016,0.4409448818897638,71,2,0.0,,0.9511529878502356,591,0,0.0,0.4539877300613497,,0,89,0.14615311334356754,1.0,0.031201248049921998,621,0,0.0,0.31384688665643246
0.4,0.5926778563314168,0.9946949602122016,0.4409448818897638,71,2,0.0,,0.951979502438218,581,0,0.0,0.4539877300613497,,0,89,0.14615311334356754,1.0,0.031201248049921998,621,0,0.05,0.31384688665643246
0.395,0.5926778563314168,0.9946949602122016,0.4409448818897638,71,2,0.0,,0.9527233655674022,572,0,0.0,0.4539877300613497,,0,89,0.14615311334356754,1.0,0.031201248049921998,621,0,0.1,0.31384688665643246
0.365,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9702454748326308,360,0,0.0,0.3619631901840491,,0,104,0.15395550786793646,0.9992581602373887,0.0374414976599064,617,1,0.6,0.3164739399848242
0.36,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9705760806678237,356,0,0.0,0.3619631901840491,,0,104,0.15395550786793646,0.9992581602373887,0.0374414976599064,617,1,0.65,0.3164739399848242
0.35,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9638813125051657,437,0,0.0,0.39263803680981596,,0,99,0.14307856931474747,0.9992581602373887,0.0327613104524181,620,1,0.65,0.3169214306852526
0.345,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9641292668815604,434,0,0.0,0.39263803680981596,,0,99,0.14307856931474747,0.9992581602373887,0.0327613104524181,620,1,0.7,0.3169214306852526
0.34,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.963963963963964,436,0,0.0,0.39263803680981596,,0,99,0.14307856931474747,0.9992581602373887,0.0327613104524181,620,1,0.75,0.3169214306852526
0.335,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.964294569799157,432,0,0.0,0.39263803680981596,,0,99,0.14307856931474747,0.9992581602373887,0.0327613104524181,620,1,0.8,0.3169214306852526
0.33,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9645425241755518,429,0,0.0,0.39263803680981596,,0,99,0.14307856931474747,0.9992581602373887,0.0327613104524181,620,1,0.85,0.3169214306852526
0.325,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9643772212579552,431,0,0.0,0.38650306748466257,,0,100,0.14307856931474747,0.9992581602373887,0.0327613104524181,620,1,0.9,0.3169214306852526
0.315,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9676832796098851,391,0,0.0,0.37423312883435583,,0,102,0.14307856931474747,0.9992581602373887,0.0327613104524181,620,1,1.05,0.3169214306852526
0.31,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9677659310686834,390,0,0.0,0.3803680981595092,,0,101,0.14307856931474747,0.9992581602373887,0.0327613104524181,620,1,1.1,0.3169214306852526
0.305,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9675179766922887,393,0,0.0,0.3803680981595092,,0,101,0.14307856931474747,0.9992581602373887,0.0327613104524181,620,1,1.15,0.3169214306852526
0.39,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9531366228613936,567,0,0.0,0.4539877300613497,,0,89,0.1424162738318457,1.0,0.029641185647425898,622,0,0.15,0.31758372616815433
0.385,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9540457889081743,556,0,0.0,0.44785276073619634,,0,90,0.1424162738318457,1.0,0.029641185647425898,622,0,0.2,0.31758372616815433
0.38,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9547896520373584,547,0,0.0,0.44171779141104295,,0,91,0.1424162738318457,1.0,0.029641185647425898,622,0,0.25,0.31758372616815433
