track_id,assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
ENCSR046BCI_P,PRO-cap,2048,2175,2111,0.0026113911334598315,0.12838553839721134,432720
ENCSR046BCI_P,PRO-cap,2176,2303,2239,0.002827095923367043,0.1389903747360725,426108
ENCSR046BCI_P,PRO-cap,2304,2431,2367,0.0026427579089113276,0.12992764379173696,420773
ENCSR046BCI_P,PRO-cap,2432,2559,2495,0.0023462253570448524,0.11534901907486551,415620
ENCSR046BCI_P,PRO-cap,2560,2687,2623,0.0020013604602535547,0.09839419952235035,409885
ENCSR046BCI_P,PRO-cap,2688,2815,2751,0.002527557195679224,0.12426395542175654,405878
ENCSR046BCI_P,PRO-cap,2816,2943,2879,0.0023538364421373985,0.11572320785297432,400640
ENCSR046BCI_P,PRO-cap,2944,3071,3007,0.0023725622765393313,0.11664383835555397,394946
ENCSR046BCI_P,PRO-cap,3072,3199,3135,0.002101319779452196,0.10330856522142254,388856
ENCSR046BCI_P,PRO-cap,3200,3327,3263,0.002279818038485739,0.11208419243228167,383481
ENCSR046BCI_P,PRO-cap,3328,3455,3391,0.002107631793926535,0.10361888693703065,377966
ENCSR046BCI_P,PRO-cap,3456,3583,3519,0.0019145329941011346,0.09412544374432374,372827
ENCSR046BCI_P,PRO-cap,3584,3711,3647,0.001789832819120511,0.08799472709373048,368259
ENCSR046BCI_P,PRO-cap,3712,3839,3775,0.001736514032711962,0.08537338055853028,362993
ENCSR046BCI_P,PRO-cap,3840,3967,3903,0.0016774068489905155,0.0824674552423304,358076
ENCSR046BCI_P,PRO-cap,3968,4095,4031,0.0016216320661979527,0.07972536294291928,352458
ENCSR046BCI_P,PRO-cap,4096,4223,4159,0.0015310064789849464,0.0752698776432162,345678
ENCSR046BCI_P,PRO-cap,4224,4351,4287,0.0016529554951214577,0.08126533726360363,340674
ENCSR046BCI_P,PRO-cap,4352,4479,4415,0.0017471511927242675,0.08589634224653592,336147
ENCSR046BCI_P,PRO-cap,4480,4607,4543,0.0018235424154793055,0.08965201413213081,332010
ENCSR046BCI_P,PRO-cap,4608,4735,4671,0.0017708686075734276,0.08706237709891176,325343
ENCSR046BCI_P,PRO-cap,4736,4863,4799,0.0017100861674730387,0.08407409005244174,318674
ENCSR046BCI_P,PRO-cap,4864,4991,4927,0.0017695825502569928,0.0869991498179179,313639
ENCSR046BCI_P,PRO-cap,4992,5119,5055,0.001732070409770363,0.08515491580367927,307113
ENCSR046BCI_P,PRO-cap,5120,5247,5183,0.0015041957932778495,0.07395176628287639,301904
ENCSR046BCI_P,PRO-cap,5248,5375,5311,0.0015319987436592279,0.07531866100347498,296048
ENCSR046BCI_P,PRO-cap,5376,5503,5439,0.001605329946866666,0.07892389113712744,291628
ENCSR046BCI_P,PRO-cap,5504,5631,5567,0.0016350626045626806,0.08038565732656279,286568
