assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
PRO-cap,3968,4095,4031,0.0027580157395542437,0.12096985732279673,352458
PRO-cap,4096,4223,4159,0.0027238958021532866,0.11947331620446228,345678
PRO-cap,4224,4351,4287,0.0027595582366813634,0.12103751308513065,340674
PRO-cap,4352,4479,4415,0.0028874302348177888,0.1266461313204437,336147
PRO-cap,4480,4607,4543,0.0028909133832778224,0.12679890636309538,332010
PRO-cap,4608,4735,4671,0.00280489468425445,0.12302602370738154,325343
PRO-cap,4736,4863,4799,0.0026765631186134184,0.11739724829360679,318674
PRO-cap,4864,4991,4927,0.0027001991411783784,0.11843395241257013,313639
PRO-cap,4992,5119,5055,0.0026335384462173226,0.11551013488577795,307113
PRO-cap,5120,5247,5183,0.0024463945530222475,0.10730178069331787,301904
PRO-cap,5248,5375,5311,0.0024273458020422417,0.10646627977315228,296048
PRO-cap,5376,5503,5439,0.002468766940676722,0.10828306027911512,291628
PRO-cap,5504,5631,5567,0.002452063415542367,0.10755042375956529,286568
PRO-cap,5632,5759,5695,0.0024601321427474743,0.10790432775104003,281538
PRO-cap,5760,5887,5823,0.002326756554613908,0.10205431549930817,277044
PRO-cap,5888,6015,5951,0.0022416282992636077,0.0983204887643205,271618
PRO-cap,6016,6143,6079,0.002150364187010294,0.0943175360328907,265894
PRO-cap,6144,6271,6207,0.0021896987627417607,0.09604279740317472,258447
PRO-cap,6272,6399,6335,0.002290327597746487,0.10045649803529962,252711
PRO-cap,6400,6527,6463,0.002352962194484168,0.10320372609573585,247287
PRO-cap,6528,6655,6591,0.002324590531750939,0.10195931115508582,242781
PRO-cap,6656,6783,6719,0.00241925009365456,0.10611119235485382,237763
PRO-cap,6784,6911,6847,0.002353917263370674,0.10324561655534313,232697
PRO-cap,6912,7039,6975,0.0023633786925057023,0.10366060611327768,228275
PRO-cap,7040,7167,7103,0.0024049321501035848,0.10548319028667226,222429
PRO-cap,7168,7295,7231,0.0023578935712616706,0.10342002215838118,217224
PRO-cap,7296,7423,7359,0.0021213074820553035,0.09304307432396516,210693
PRO-cap,7424,7551,7487,0.0020286080017551202,0.08897716463933698,205660
PRO-cap,7552,7679,7615,0.0019568995952024292,0.0858319484663045,199000
PRO-cap,7680,7807,7743,0.0018663504811374607,0.0818603564075459,192318
PRO-cap,7808,7935,7871,0.0018710670965590816,0.082067232781171,188174
PRO-cap,7936,8063,7999,0.0018037457024875619,0.0791144362039768,183650
PRO-cap,8064,8191,8127,0.0017643667944884226,0.07738723036759775,178654
PRO-cap,8192,8319,8255,0.0019981357564800043,0.08764061564493864,171888
PRO-cap,8320,8447,8383,0.002068609905780959,0.09073169582392986,166247
PRO-cap,8448,8575,8511,0.0020439360956632253,0.08964947310607313,161337
PRO-cap,8576,8703,8639,0.002023006628022542,0.08873148171174383,156068
PRO-cap,8704,8831,8767,0.0019666687890803653,0.08626043695265508,151489
PRO-cap,8832,8959,8895,0.0020446124689355487,0.08967913964389468,146372
PRO-cap,8960,9087,9023,0.0020560217731219145,0.09017956532304622,140847
PRO-cap,9088,9215,9151,0.0018964191161719224,0.08317920257576898,135475
PRO-cap,9216,9343,9279,0.0019166227369655882,0.08406535746232835,129395
PRO-cap,9344,9471,9407,0.0017633888564853872,0.0773443368412842,123691
PRO-cap,9472,9599,9535,0.0017673561800979625,0.07751834838316327,118440
PRO-cap,9600,9727,9663,0.0016648242967135087,0.07302117778106233,114443
PRO-cap,9728,9855,9791,0.0015834813698558082,0.06945338006509097,108712
PRO-cap,9856,9983,9919,0.0015995381459406887,0.07015764940053937,103557
PRO-cap,9984,10111,10047,0.0017404333740554626,0.07633748202370699,98226
PRO-cap,10112,10239,10175,0.0017356976945473025,0.0761297694765258,91617
PRO-cap,10240,10367,10303,0.001645703685238622,0.07218252497394838,85650
PRO-cap,10368,10495,10431,0.0017830811226982725,0.07820806310650133,79679
PRO-cap,10496,10623,10559,0.0017391426459448063,0.0762808691504919,74651
PRO-cap,10624,10751,10687,0.001711726561928533,0.07507836703122031,68810
PRO-cap,10752,10879,10815,0.0016491446018161438,0.07233344767590139,62726
PRO-cap,10880,11007,10943,0.0015213086637568876,0.06672641107854917,57092
PRO-cap,11008,11135,11071,0.0012592206750729298,0.055230919540041355,51962
PRO-cap,11136,11263,11199,0.0011619896463429683,0.05096625074061196,46864
PRO-cap,11264,11391,11327,0.0011992613187447538,0.05260103071230085,41162
PRO-cap,11392,11519,11455,0.0012985535507237182,0.05695610634276069,35396
PRO-cap,11520,11647,11583,0.0014056319688470786,0.061652693377041795,30392
PRO-cap,11648,11775,11711,0.0013263690129625132,0.05817612566684856,24768
PRO-cap,11776,11903,11839,0.0011742464469354172,0.051503848622175226,18552
PRO-cap,11904,12031,11967,0.0014820666371069197,0.06500520902127908,13378
PRO-cap,12032,12159,12095,0.001758470418190543,0.07712860827590827,8209
PRO-cap,12160,12287,12223,0.0024300508057741184,0.10658492446063896,2708
eCLIP,0,127,63,0.06546381968978887,1.0,519575
eCLIP,128,255,191,0.03292039149867446,0.5028791728724841,516118
eCLIP,256,383,319,0.027833703651247432,0.42517689592727764,510952
eCLIP,384,511,447,0.024277269841565516,0.3708501880368022,505775
eCLIP,512,639,575,0.022383580020010486,0.34192291445990747,499570
eCLIP,640,767,703,0.02088119955522961,0.31897313132931476,493941
eCLIP,768,895,831,0.01980606783880388,0.3025498348959503,488933
eCLIP,896,1023,959,0.018841314031343547,0.2878126287257026,483174
eCLIP,1024,1151,1087,0.018295730418323247,0.27947850438640137,477461
eCLIP,1152,1279,1215,0.01807933296108839,0.27617290049313187,472368
eCLIP,1280,1407,1343,0.017831426370135062,0.27238597525522074,467236
eCLIP,1408,1535,1471,0.01735888228162625,0.2651675744538614,461607
eCLIP,1536,1663,1599,0.016939774187011338,0.25876544123583467,455530
eCLIP,1664,1791,1727,0.01593252051428504,0.24337902355505564,449676
eCLIP,1792,1919,1855,0.015828893277308805,0.2417960539473045,444654
eCLIP,1920,2047,1983,0.015091014895291376,0.23052450906168695,438682
eCLIP,2048,2175,2111,0.014541061321461303,0.2221236308905671,432720
eCLIP,2176,2303,2239,0.013652877983917722,0.2085560856151404,426108
eCLIP,2304,2431,2367,0.013283978183910987,0.20292091489404854,420773
eCLIP,2432,2559,2495,0.013176102094879603,0.2012730414649915,415620
eCLIP,2560,2687,2623,0.012888058259781248,0.19687299520335724,409885
eCLIP,2688,2815,2751,0.012652572905060708,0.19327581196784752,405878
eCLIP,2816,2943,2879,0.01270777935690956,0.19411912438240653,400640
eCLIP,2944,3071,3007,0.012467379519342,0.19044686940696004,394946
eCLIP,3072,3199,3135,0.01221064148039101,0.1865250383838455,388856
eCLIP,3200,3327,3263,0.012101013176071963,0.1848503987914945,383481
eCLIP,3328,3455,3391,0.011992764929173259,0.18319684042273973,377966
eCLIP,3456,3583,3519,0.01183240387901497,0.1807472270192111,372827
eCLIP,3584,3711,3647,0.01158800676155215,0.17701391114151047,368259
eCLIP,3712,3839,3775,0.011839962386026161,0.18086268785004878,362993
eCLIP,3840,3967,3903,0.011215200321453888,0.17131906409676317,358076
eCLIP,3968,4095,4031,0.011451215387410228,0.17492433899631438,352458
eCLIP,4096,4223,4159,0.011262325023714293,0.17203892282917008,345678
eCLIP,4224,4351,4287,0.010994577598839005,0.1679489166831179,340674
eCLIP,4352,4479,4415,0.010905500375690628,0.16658820746128386,336147
eCLIP,4480,4607,4543,0.010917121120559444,0.16676572146709476,332010
eCLIP,4608,4735,4671,0.01088533741290498,0.1662802058371624,325343
eCLIP,4736,4863,4799,0.010704419090675345,0.16351656749331164,318674
eCLIP,4864,4991,4927,0.010549690205693109,0.16115298886750817,313639
eCLIP,4992,5119,5055,0.010234651981197704,0.1563405867499986,307113
eCLIP,5120,5247,5183,0.00993674103797838,0.15178981435952363,301904
