assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
Histone ChIP-seq,6272,6399,6335,0.0019854973610368286,0.19825506778668847,1828
Histone ChIP-seq,6400,6527,6463,0.002024437562795356,0.20214330883437878,1792
Histone ChIP-seq,6528,6655,6591,0.0019649280265637593,0.1962011870410823,1773
Histone ChIP-seq,6656,6783,6719,0.0017995259258896112,0.17968552435388035,1664
Histone ChIP-seq,6784,6911,6847,0.002148805101079723,0.21456160523551582,1664
Histone ChIP-seq,6912,7039,6975,0.0019016083947812708,0.18987862115023166,1664
Histone ChIP-seq,7040,7167,7103,0.0019220637757546054,0.19192112345774076,1664
Histone ChIP-seq,7168,7295,7231,0.0017444039068113153,0.1741815031230488,1664
Histone ChIP-seq,7296,7423,7359,0.0015475122625223147,0.1545215594478961,1664
Histone ChIP-seq,7424,7551,7487,0.0013742111085985715,0.13721716373682785,1664
Histone ChIP-seq,7552,7679,7615,0.0014268638781056954,0.14247462647268394,1664
Histone ChIP-seq,7680,7807,7743,0.0014287659880490257,0.14266455517425408,1664
Histone ChIP-seq,7808,7935,7871,0.0012355857224275286,0.12337519855892187,1664
Histone ChIP-seq,7936,8063,7999,0.0013400495652324306,0.133806079326111,1664
Histone ChIP-seq,8064,8191,8127,0.0013654392096213996,0.13634127567952564,1664
Histone ChIP-seq,8192,8319,8255,0.001325850357424538,0.132388265854427,1484
Histone ChIP-seq,8320,8447,8383,0.0015859546314459295,0.15836009109563007,1280
Histone ChIP-seq,8448,8575,8511,0.0014979243976995348,0.14957013231696123,1280
Histone ChIP-seq,8576,8703,8639,0.0015633948188986805,0.1561074579501122,1251
Histone ChIP-seq,8704,8831,8767,0.0013757444103248417,0.1373702663516409,1152
Histone ChIP-seq,8832,8959,8895,0.001302588970348653,0.1300655793769523,1152
Histone ChIP-seq,8960,9087,9023,0.001283880675957578,0.1281975264419743,1151
Histone ChIP-seq,9088,9215,9151,0.001501072962947239,0.1498845215621267,906
Histone ChIP-seq,9216,9343,9279,0.0014576064173265227,0.1455443178844002,896
Histone ChIP-seq,9344,9471,9407,0.0013816784318935657,0.13796278783841875,896
Histone ChIP-seq,9472,9599,9535,0.0013946990172068279,0.13926291398039214,852
Histone ChIP-seq,9600,9727,9663,0.0011634304246399552,0.11617037737166334,768
Histone ChIP-seq,9728,9855,9791,0.0011866913396823273,0.11849301671584142,712
Histone ChIP-seq,9856,9983,9919,0.0012264599557965995,0.12246397625385895,640
Histone ChIP-seq,9984,10111,10047,0.001305145723745227,0.1303208752679964,640
Histone ChIP-seq,10112,10239,10175,0.0011706855264492333,0.11689481082054319,640
Histone ChIP-seq,10240,10367,10303,0.0010821945616044104,0.10805884730928551,640
Histone ChIP-seq,10368,10495,10431,0.0009984448384702876,0.0996963043198547,445
Histone ChIP-seq,10496,10623,10559,0.0008759440970607102,0.08746441055425787,384
Histone ChIP-seq,10624,10751,10687,0.0008960378759387714,0.08947080631772565,268
Histone ChIP-seq,10752,10879,10815,0.0009073908731807023,0.09060442113986056,256
Histone ChIP-seq,10880,11007,10943,0.0007240163977257907,0.07229418826064013,256
Histone ChIP-seq,11008,11135,11071,0.001260656281374395,0.12587853372370175,256
Histone ChIP-seq,11136,11263,11199,0.0013861464394722134,0.13840892549780787,256
Histone ChIP-seq,11264,11391,11327,0.0011510526897703728,0.11493444086841195,164
PRO-cap,0,127,63,0.012061235690835554,1.0,4080
PRO-cap,128,255,191,0.00684279226861273,0.5673375799970533,4096
PRO-cap,256,383,319,0.0061297799122765895,0.5082215512075731,4096
PRO-cap,384,511,447,0.005596175738035392,0.46398029865940804,4096
PRO-cap,512,639,575,0.0049660696491482526,0.41173804877402437,4096
PRO-cap,640,767,703,0.004329680591881768,0.35897487644417514,4096
PRO-cap,768,895,831,0.004252348387785432,0.35256324449546067,4096
PRO-cap,896,1023,959,0.004175443360221636,0.34618702985750033,3934
PRO-cap,1024,1151,1087,0.004785188972320024,0.39674118763435967,3840
PRO-cap,1152,1279,1215,0.004649278569180618,0.3854728228810969,3840
PRO-cap,1280,1407,1343,0.004290002473821156,0.3556851539747966,3840
PRO-cap,1408,1535,1471,0.0037200649170775553,0.3084314918001444,3840
PRO-cap,1536,1663,1599,0.0035209868311803943,0.29192587902545786,3829
PRO-cap,1664,1791,1727,0.0034303815129674304,0.28441376994016665,3712
