model,dataset,n,auroc,auprc,mcc,recall,specificity,mean_gate_alpha_gnomad,mean_gate_entropy,mean_gate_alpha_abraom,mean_molecular_probability,mean_regional_discount,mean_gate_alpha_scrambled,gate_alpha_abraom,gate_entropy
M7_dynamic_scrambled,br_only,504,0.7638839574761378,0.9073691419550995,0.3014585162043642,0.8381962864721485,0.4566929133858268,0.5063240956219416,0.6912625258167585,,,,0.4936597867617531,,0.6912625258167585
M7_dynamic_scrambled,br_any,564,0.7584232209097592,0.909046099814938,0.2961930973179029,0.8290398126463701,0.4671532846715328,0.5063211988684133,0.6912615711384631,,,,0.4936617317985981,,0.6912615711384631
M7_dynamic_scrambled,regional_benchmark_any,3111,0.8775194466190203,0.9066153330697412,0.575612463305959,0.8372615039281706,0.7343867569601203,0.5063163594048493,0.691261259641957,,,,0.4936675954596937,,0.691261259641957
M7_dynamic_scrambled,abraom_common_benign,12099,,,0.0,0.0,0.8888337879163567,0.506287880402595,0.6912632876363153,,,,0.4936927582781338,,0.6912632876363153
M7_dynamic_scrambled,abraom_pathogenic_present,163,,1.0,0.0,0.3128834355828221,0.0,0.5063531537728807,0.6912650206337677,,,,0.4936298991273517,,0.6912650206337677
M7_dynamic_scrambled,abraom_pathogenic_common,60,,1.0,0.0,0.2666666666666666,0.0,0.506327478090922,0.6912714600563049,,,,0.4936467791597048,,0.6912714600563049
M7_dynamic_scrambled,global_nonbr_no_abraom,1989,0.8617886555224822,0.9312460289015232,0.538528773819855,0.8434718100890207,0.6989079563182528,0.5063137428253485,0.6912604809226913,,,,0.4936690201646662,,0.6912604809226913
M5_v2_calibrated,br_only,504,0.8857327847281689,0.9523486247226898,0.6051392365837596,0.9946949602122016,0.4566929133858268,,,,,,,,
M5_v2_calibrated,br_any,564,0.8832287731414212,0.953365430635296,0.6041170570342913,0.9929742388758782,0.4598540145985401,,,,,,,,
M5_v2_calibrated,regional_benchmark_any,3111,0.9173310734635038,0.9321385545879524,0.5608387781748854,0.9943883277216612,0.4582392776523702,,,,,,,,
M5_v2_calibrated,abraom_common_benign,12099,,,0.0,0.0,0.9585089676832796,,,,,,,,
M5_v2_calibrated,abraom_pathogenic_present,163,,1.0,0.0,0.4355828220858895,0.0,,,,,,,,
M5_v2_calibrated,abraom_pathogenic_common,60,,1.0,0.0,0.2,0.0,,,,,,,,
M5_v2_calibrated,global_nonbr_no_abraom,1989,0.8609195109644148,0.9287475826965128,0.50006754101164,0.6906528189910979,0.84399375975039,,,,,,,,
