assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
Histone ChIP-seq,7424,7551,7487,0.0015792522705548133,0.1672751528267354,1536
Histone ChIP-seq,7552,7679,7615,0.0019146334913481648,0.20279889150321423,1536
Histone ChIP-seq,7680,7807,7743,0.002311052284009444,0.24478775886923007,1536
Histone ChIP-seq,7808,7935,7871,0.002422883655996092,0.25663299106466525,1488
Histone ChIP-seq,7936,8063,7999,0.0022166257955095196,0.23478606022410622,1347
Histone ChIP-seq,8064,8191,8127,0.0019363606062418783,0.20510023786319326,1243
Histone ChIP-seq,8192,8319,8255,0.001984657765003956,0.21021589592723733,1152
Histone ChIP-seq,8320,8447,8383,0.0016120663753503726,0.17075083843877595,1152
Histone ChIP-seq,8448,8575,8511,0.0019491392562890218,0.20645375856372347,1152
Histone ChIP-seq,8576,8703,8639,0.0021931713452231516,0.23230175367646327,1063
Histone ChIP-seq,8704,8831,8767,0.0020394973253132775,0.216024528279857,1024
Histone ChIP-seq,8832,8959,8895,0.0018515022760237352,0.1961120031013875,942
Histone ChIP-seq,8960,9087,9023,0.0019598339518932537,0.2075865458168992,856
Histone ChIP-seq,9088,9215,9151,0.0019608415313996375,0.20769326911820954,768
Histone ChIP-seq,9216,9343,9279,0.0019211158602653693,0.20348550710701746,768
Histone ChIP-seq,9344,9471,9407,0.0018364994126992922,0.1945228926709474,768
Histone ChIP-seq,9472,9599,9535,0.0017722380386355023,0.18771629731705877,768
Histone ChIP-seq,9600,9727,9663,0.0018959423161555673,0.20081911332264865,642
Histone ChIP-seq,9728,9855,9791,0.0016531960107386112,0.17510730901257382,640
Histone ChIP-seq,9856,9983,9919,0.0013912463396349374,0.14736147506079716,544
Histone ChIP-seq,9984,10111,10047,0.001555124530568719,0.16471953111335344,512
Histone ChIP-seq,10112,10239,10175,0.0014959169639041647,0.15844823744674183,512
Histone ChIP-seq,10240,10367,10303,0.0017511844052933156,0.1854862864438529,512
Histone ChIP-seq,10368,10495,10431,0.0015244412643369287,0.16146954493708346,512
Histone ChIP-seq,10496,10623,10559,0.0018705942752686414,0.1981342367565195,440
Histone ChIP-seq,10624,10751,10687,0.0013767110649496317,0.14582189184176597,384
Histone ChIP-seq,10752,10879,10815,0.0014733611994112532,0.1560591201264608,384
Histone ChIP-seq,10880,11007,10943,0.0016791060334071517,0.17785171095673039,384
Histone ChIP-seq,11008,11135,11071,0.0018410964403301477,0.1950098120275553,384
Histone ChIP-seq,11136,11263,11199,0.0019133886808802368,0.20266704058544424,314
Histone ChIP-seq,11264,11391,11327,0.0019320182036608458,0.20464028851316177,128
Histone ChIP-seq,11392,11519,11455,0.0012258558417670429,0.1298432347373417,128
Histone ChIP-seq,11520,11647,11583,0.001294502872042358,0.1371143608864089,128
Histone ChIP-seq,11648,11775,11711,0.0016107636038213968,0.1706128482578081,128
Histone ChIP-seq,11776,11903,11839,0.001725603942759335,0.18277679166614588,128
Histone ChIP-seq,11904,12031,11967,0.0021532390965148807,0.22807211087022272,128
Histone ChIP-seq,12032,12159,12095,0.0016615830827504396,0.1759956716755286,128
Histone ChIP-seq,12160,12287,12223,0.0016089476330179563,0.17042049976520932,71
PRO-cap,0,127,63,0.012399696200404754,1.0,4010
PRO-cap,128,255,191,0.006302005765221914,0.5082387232209933,3968
PRO-cap,256,383,319,0.005686792765174225,0.45862355603426763,3968
PRO-cap,384,511,447,0.005539588024107854,0.44675191509345447,3968
PRO-cap,512,639,575,0.004499192485233317,0.3628469933873423,3968
PRO-cap,640,767,703,0.004369144103227812,0.35235896368857755,3968
PRO-cap,768,895,831,0.004420054441752086,0.35646473674151835,3968
PRO-cap,896,1023,959,0.004615114211982323,0.37219574878227063,3968
PRO-cap,1024,1151,1087,0.004226041424578876,0.3408181423381106,3784
PRO-cap,1152,1279,1215,0.004281260367726982,0.34527139201904256,3712
PRO-cap,1280,1407,1343,0.004612693388480693,0.37200051629733677,3712
PRO-cap,1408,1535,1471,0.004637064090631831,0.3739659436559798,3712
PRO-cap,1536,1663,1599,0.004392803005750802,0.35426698644499144,3712
PRO-cap,1664,1791,1727,0.004054030379786295,0.32694594401869,3657
PRO-cap,1792,1919,1855,0.004017837812203392,0.32402711705729054,3584
PRO-cap,1920,2047,1983,0.003935120150056751,0.3173561744140393,3584
PRO-cap,2048,2175,2111,0.003757060711194019,0.302996190428551,3584
PRO-cap,2176,2303,2239,0.003443265931594957,0.27768953980360916,3584
PRO-cap,2304,2431,2367,0.0032418090193594294,0.2614426165742359,3553
PRO-cap,2432,2559,2495,0.0032366495543598717,0.26102652049283437,3456
PRO-cap,2560,2687,2623,0.003289272242042007,0.2652703896031451,3455
PRO-cap,2688,2815,2751,0.0033169280569581997,0.26750075190148026,3328
PRO-cap,2816,2943,2879,0.0029868145252694564,0.24087804063876664,3328
PRO-cap,2944,3071,3007,0.0029678362561677083,0.23934749756778972,3328
PRO-cap,3072,3199,3135,0.0033881878758987337,0.27324765229233083,3328
PRO-cap,3200,3327,3263,0.003126604671475634,0.2521517157310334,3241
PRO-cap,3328,3455,3391,0.0028377582061187914,0.22885707522625923,3155
PRO-cap,3456,3583,3519,0.003289119971339479,0.2652581094069155,3072
PRO-cap,3584,3711,3647,0.003278994366208289,0.26444150834124913,3034
PRO-cap,3712,3839,3775,0.003157732542178191,0.25466208938853807,2944
PRO-cap,3840,3967,3903,0.0026448526437251453,0.2132997938803381,2944
PRO-cap,3968,4095,4031,0.0026555775645481167,0.21416472804079126,2944
PRO-cap,4096,4223,4159,0.0029420314250919437,0.23726641181708222,2854
PRO-cap,4224,4351,4287,0.0028768661254408388,0.23201101695918416,2750
PRO-cap,4352,4479,4415,0.0024855032919265728,0.20044872485226214,2609
PRO-cap,4480,4607,4543,0.0026677062777231697,0.2151428740355824,2560
PRO-cap,4608,4735,4671,0.002636522147748721,0.21262796322886193,2560
PRO-cap,4736,4863,4799,0.002653861448518313,0.21402632819598316,2560
PRO-cap,4864,4991,4927,0.00222352432170104,0.17932087091201954,2453
PRO-cap,4992,5119,5055,0.002484800793725203,0.20039207038347387,2432
PRO-cap,5120,5247,5183,0.0025867617469521363,0.20861492936155152,2432
PRO-cap,5248,5375,5311,0.002781341924673855,0.22430726363949674,2305
PRO-cap,5376,5503,5439,0.0024820957674778457,0.20017391776072907,2304
PRO-cap,5504,5631,5567,0.0026161514344143675,0.21098512351689475,2304
PRO-cap,5632,5759,5695,0.0025844407673486945,0.20842774900116767,2244
PRO-cap,5760,5887,5823,0.002700467532990809,0.21778497548211379,2176
PRO-cap,5888,6015,5951,0.002513648426556703,0.2027185493846738,2058
PRO-cap,6016,6143,6079,0.0026775288735501057,0.21593503826833316,2048
